CHEMICAL NAME,CASRN,LAST SIGNIFICANT REVISION,IRIS SUMMARY,TOX REVIEW/SUPPORTING DOCUMENT,LITERATURE SCREENING REVIEW,CRITICAL EFFECT SYSTEMS,TUMOR SITE,PESTICIDE,ARCHIVE,NONCANCER ASSESSMENT TYPE,SYSTEM (RfD),RfD (mg/kg-day),BASIS (RfD),PoD (RfD),COMPOSITE UF (RfD),CONFIDENCE (RfD),SYSTEM (RfC),RfC (mg/m^3),BASIS (RfC),PoD (RfC),COMPOSITE UF (RfC),CONFIDENCE (RfC),WOE CHARACTERIZATION,FRAMEWORK FOR WOE CHARACTERIZATION,WOE BASIS,QUANT. EST. OF CARC. RISK FROM ORAL EXPOSURE,QUANT. EST. OF CARC. RISK FROM INHALATION EXPOSURE
Beryllium and compounds,7440-41-7,Apr-03-1998,"(PDF 51 pp, 284 K)","(PDF 94 pp, 320 K)",Yes,Gastrointestinal; Immune; Respiratory,Respiratory,,,Inahlation,,,,,,,Immune; Respiratory,2 x 10 -5,Beryllium sensitization and progression to CBD,LOAEL (HEC): 2.0 x 10-4 mg/m3,10,Medium,Carcinogenic potential cannot be determined (Oral route),"Proposed Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1996)","B1; probable human carcinogen. Based on the limited evidence of carcinogenicity in humans exposed to airborne beryllium (lung cancer) and sufficient evidence of carcinogenicity in animals (lung cancer in rats and monkeys inhaling beryllium, lung tumors in rats exposed to beryllium via intratracheal instillation, and osteosarcomas in rabbits and possibly mice receiving intravenous or intramedullary injection), beryllium is reclassified from a B2 (inadequate human data) to a B1 probable human carcinogen (limited human data) using criteria of the 1986 Guidelines for Carcinogen Risk Assessment. Using the 1996 proposed Guidelines for Carcinogen Risk Assessment, inhaled beryllium would be characterized as a ""likely"" carcinogen in humans, and the human carcinogenic potential of ingested beryllium cannot be determined. This may be a synopsis of the full weight-of-evidence narrative.",,"Inhalation Unit Risk: 2.4 x 10-3 per µg/m3
Extrapolation Method: Relative risk
Tumor site(s): Respiratory
Tumor type(s): Lung cancer (Wagoner et al., 1980)"
Beryllium and compounds,7440-41-7,Apr-03-1998,"(PDF 51 pp, 284 K)","(PDF 94 pp, 320 K)",Yes,Gastrointestinal; Immune; Respiratory,Respiratory,,,Inahlation,,,,,,,Immune; Respiratory,2 x 10 -5,Beryllium sensitization and progression to CBD,LOAEL (HEC): 2.0 x 10-4 mg/m3,10,Medium,Known/likely human carcinogen (Inhalation route),"Proposed Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1996)","B1; probable human carcinogen. Based on the limited evidence of carcinogenicity in humans exposed to airborne beryllium (lung cancer) and sufficient evidence of carcinogenicity in animals (lung cancer in rats and monkeys inhaling beryllium, lung tumors in rats exposed to beryllium via intratracheal instillation, and osteosarcomas in rabbits and possibly mice receiving intravenous or intramedullary injection), beryllium is reclassified from a B2 (inadequate human data) to a B1 probable human carcinogen (limited human data) using criteria of the 1986 Guidelines for Carcinogen Risk Assessment. Using the 1996 proposed Guidelines for Carcinogen Risk Assessment, inhaled beryllium would be characterized as a ""likely"" carcinogen in humans, and the human carcinogenic potential of ingested beryllium cannot be determined. This may be a synopsis of the full weight-of-evidence narrative.",,"Inhalation Unit Risk: 2.4 x 10-3 per µg/m3
Extrapolation Method: Relative risk
Tumor site(s): Respiratory
Tumor type(s): Lung cancer (Wagoner et al., 1980)"
Bidrin,141-66-2,Sep-30-1987,"(PDF 7 pp, 89 K)",Not Available,Yes,Reproductive,None,pesticide,archive,Oral,Reproductive,1 x 10 -4,Decreased pup survival,NOEL: 1 x 10-1 mg/kg-day,1000,Low,,,,,,,,,,,
Biphenthrin,82657-04-3,Aug-22-1988,"(PDF 7 pp, 87 K)",Not Available,Yes,Nervous,None,pesticide,,Oral,Nervous,1.5 x 10 -2,Tremors,NOEL: 1.5 mg/kg-day,100,High,,,,,,,,,,,
Biphenyl,92-52-4,Aug-27-2013,"(PDF 12 pp, 111 K)","(PDF 225 pp, 4.82 M)",Yes,Urinary,Hepatic,,,Oral,Urinary,5 x 10 -1,Renal papillary mineralization in male F344 rats,BMDL 10 (HED<sub>99</sub>): 13.9 mg/kg-day,30 MF: 10,Medium/High,,,,,,,Suggestive evidence of carcinogenic potential,"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005)","Under EPA’s Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005a), the database for biphenyl provides “suggestive evidence of carcinogenic potential” based on increased incidence of urinary bladder tumors (transitional cell papillomas and carcinomas) in male F344 rats (Umeda et al., 2002) and liver tumors (hepatocellular adenomas and carcinomas) in female BDF1 mice (Umeda et al., 2005) exposed to biphenyl in the diet for 104 weeks, as well as information on mode of carcinogenic action. The carcinogenic potential of biphenyl in humans has not been investigated. This may be a synopsis of the full weight-of-evidence narrative.","Oral Slope Factor: 8 x 10-3 per mg/kg-day
Drinking Water Unit Risk: 2.3 x 10-7 per µg/L
Extrapolation Method: Multistage model with linear extrapolation from the POD (LED10).
Tumor site(s): Hepatic
Tumor type(s): Liver adenomas or carcinomas (Umeda et al., 2005)",
Bis(2-chloro-1-methylethyl) ether,108-60-1,Oct-01-1989,"(PDF 7 pp, 91 K)",Not Available,Yes,Hematologic,None,,,Oral,Hematologic,4 x 10 -2,Decrease in hemoglobin and possible erythrocyte destruction,NOAEL: 3.58 x 101 mg/kg-day,1000,Low,,,,,,,,,,,
Bis(2-chloroethoxy)methane,111-91-1,Mar-01-1991,"(PDF 5 pp, 88 K)",Not Available,Yes,None,None,,,,,,,,,,,,,,,,D (Not classifiable as to human carcinogenicity),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)",No human data and no animal data. This may be a synopsis of the full weight-of-evidence narrative.,,
Bis(chloroethyl)ether (BCEE),111-44-4,Oct-01-1991,"(PDF 10 pp, 104 K)",Not Available,Yes,None,Hepatic,,,,,,,,,,,,,,,,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)",Positive carcinogenicity results in two strains of mice and evidence of mutagenicity This may be a synopsis of the full weight-of-evidence narrative.,"Oral Slope Factor: 1.1 per mg/kg-day
Drinking Water Unit Risk: 3.3 x 10-5 per µg/L
Extrapolation Method: Linearized multistage procedure, extra risk
Tumor site(s): Hepatic
Tumor type(s): Hepatomas (Innes et al., 1969)","Inhalation Unit Risk: 3.3 x 10-4 per µg/m3
Extrapolation Method: Linearized multistage procedure, extra risk
Tumor site(s): Hepatic
Tumor type(s): Hepatomas (Innes et al., 1969)"
Bis(chloromethyl)ether (BCME),542-88-1,Jul-01-1991,"(PDF 12 pp, 113 K)",Not Available,Yes,None,Respiratory,,,,,,,,,,,,,,,,A (Human carcinogen),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)",Statistically significant increases in lung tumors (oat cell carcinomas) observed in six studies of exposed workers and bioassay data from rats and mice. This may be a synopsis of the full weight-of-evidence narrative.,"Oral Slope Factor: 2.2 x 102 per mg/kg-day
Drinking Water Unit Risk: 6.2 x 10-3 per µg/L
Extrapolation Method: Linearized multistage procedure, extra risk
Tumor site(s): Respiratory
Tumor type(s): Respiratory tract tumors (Kuschner et al., 1975)","Inhalation Unit Risk: 6.2 x 10-2 per µg/m3
Extrapolation Method: Linearized multistage procedure, extra risk
Tumor site(s): Respiratory
Tumor type(s): Respiratory tract tumors (Kuschner et al., 1975)"
Bisphenol A,80-05-7,Sep-26-1988,"(PDF 8 pp, 93 K)",Not Available,Yes,None,None,,,Oral,Other,5 x 10 -2,Reduced mean body weight,LOAEL: 5.0 x 101 mg/kg-day,1000,High,,,,,,,,,,,
Boron and Compounds,7440-42-8,Aug-05-2004,"(PDF 30 pp, 193 K)","(PDF 144 pp, 864 K)",No,Developmental,None,,,Oral,Developmental,2 x 10 -1,"Decreased fetal weight  (developmental)",BMDL 05: 10.3 mg/kg-day,66,High,,,,,,,Data are inadequate for an assessment of human carcinogenic potential (Oral route),"Revised Draft Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1999)","Under the Draft Revised Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1999), data are inadequate for an assessment of human carcinogenic potential for boron. This may be a synopsis of the full weight-of-evidence narrative.",,
Bromate,15541-45-4,Jun-06-2001,"(PDF 27 pp, 186 K)","(PDF 58 pp, 261 K)",No,Urinary,Endocrine; Reproductive; Urinary,,,Oral,Urinary,4 x 10 -3,Renal effects: urothelial hyperplasia,NOAEL: 1.1 mg/kg-day,300,Medium,,,,,,,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)","Under the current Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986), bromate would be classified as B2, probable human carcinogen. Under the Proposed Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1996), bromate should be evaluated as a likely human carcinogen by the oral route of exposure. Insufficient data are available to evaluate the human carcinogenic potential of bromate by the inhalation route. This may be a synopsis of the full weight-of-evidence narrative.","Oral Slope Factor: 7 x 10-1 per mg/kg-day
Drinking Water Unit Risk: 2 x 10-5 per µg/L
Extrapolation Method: Time-to-tumor, Weibull
Tumor site(s): Reproductive, Endocrine, Urinary
Tumor type(s): Testicular mesothelioma, renal tubular adenoma and carcinoma, and thyroid follicular cell adenoma and carcinoma (DeAngelo et al., 1998)",
Bromate,15541-45-4,Jun-06-2001,"(PDF 27 pp, 186 K)","(PDF 58 pp, 261 K)",No,Urinary,Endocrine; Reproductive; Urinary,,,Oral,Urinary,4 x 10 -3,Renal effects: urothelial hyperplasia,NOAEL: 1.1 mg/kg-day,300,Medium,,,,,,,Carcinogenic potential cannot be determined (Inhalation route),"Proposed Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1996)","Under the current Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986), bromate would be classified as B2, probable human carcinogen. Under the Proposed Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1996), bromate should be evaluated as a likely human carcinogen by the oral route of exposure. Insufficient data are available to evaluate the human carcinogenic potential of bromate by the inhalation route. This may be a synopsis of the full weight-of-evidence narrative.","Oral Slope Factor: 7 x 10-1 per mg/kg-day
Drinking Water Unit Risk: 2 x 10-5 per µg/L
Extrapolation Method: Time-to-tumor, Weibull
Tumor site(s): Reproductive, Endocrine, Urinary
Tumor type(s): Testicular mesothelioma, renal tubular adenoma and carcinoma, and thyroid follicular cell adenoma and carcinoma (DeAngelo et al., 1998)",
Bromate,15541-45-4,Jun-06-2001,"(PDF 27 pp, 186 K)","(PDF 58 pp, 261 K)",No,Urinary,Endocrine; Reproductive; Urinary,,,Oral,Urinary,4 x 10 -3,Renal effects: urothelial hyperplasia,NOAEL: 1.1 mg/kg-day,300,Medium,,,,,,,Known/likely human carcinogen (Oral route),"Proposed Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1996)","Under the current Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986), bromate would be classified as B2, probable human carcinogen. Under the Proposed Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1996), bromate should be evaluated as a likely human carcinogen by the oral route of exposure. Insufficient data are available to evaluate the human carcinogenic potential of bromate by the inhalation route. This may be a synopsis of the full weight-of-evidence narrative.","Oral Slope Factor: 7 x 10-1 per mg/kg-day
Drinking Water Unit Risk: 2 x 10-5 per µg/L
Extrapolation Method: Time-to-tumor, Weibull
Tumor site(s): Reproductive, Endocrine, Urinary
Tumor type(s): Testicular mesothelioma, renal tubular adenoma and carcinoma, and thyroid follicular cell adenoma and carcinoma (DeAngelo et al., 1998)",
Brominated dibenzofurans,None,Dec-01-1990,"(PDF 5 pp, 81 K)",Not Available,No,None,None,,,,,,,,,,,,,,,,D (Not classifiable as to human carcinogenicity),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)",No data in humans or animals This may be a synopsis of the full weight-of-evidence narrative.,,
Bromobenzene,108-86-1,Sep-30-2009,"(PDF 27 pp, 243 K)","(PDF 123 pp, 786 K)",No,Hepatic,None,,,Oral,Hepatic,8 x 10 -3 (Chronic),Hepatocellular cytomegaly in male B6C3F1 mice,BMDL 10: 24.1 mg/kg-day,3000,Low/Medium,,,,,,,Inadequate information to assess carcinogenic potential,"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005)","Under the Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005a), there is ""inadequate information to assess the carcinogenic potential"" of bromobenzene. This may be a synopsis of the full weight-of-evidence narrative.",,
Bromobenzene,108-86-1,Sep-30-2009,"(PDF 27 pp, 243 K)","(PDF 123 pp, 786 K)",No,Hepatic,None,,,Oral,Hepatic,2 x 10 -2 (Subchronic),Hepatocellular cytomegaly in male B6C3F1 mice,BMDL 10: 24.1 mg/kg-day,1000,Medium,,,,,,,Inadequate information to assess carcinogenic potential,"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005)","Under the Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005a), there is ""inadequate information to assess the carcinogenic potential"" of bromobenzene. This may be a synopsis of the full weight-of-evidence narrative.",,
Bromobenzene,108-86-1,Sep-30-2009,"(PDF 27 pp, 243 K)","(PDF 123 pp, 786 K)",No,Hepatic,None,,,Inahlation,,,,,,,Hepatic,6 x 10 -2 (Chronic),Hepatocellular cytomegaly in female B6C3F1 mice,BMCL 10 : 63 mg/m3,1000,Low/Medium,Inadequate information to assess carcinogenic potential,"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005)","Under the Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005a), there is ""inadequate information to assess the carcinogenic potential"" of bromobenzene. This may be a synopsis of the full weight-of-evidence narrative.",,
Bromobenzene,108-86-1,Sep-30-2009,"(PDF 27 pp, 243 K)","(PDF 123 pp, 786 K)",No,Hepatic,None,,,Inahlation,,,,,,,Hepatic,2 x 10 -1 (Subchronic),Hepatocellular cytomegaly in female B6C3F1 mice,BMCL 10 (HEC): 63 mg/m3,300,Medium,Inadequate information to assess carcinogenic potential,"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005)","Under the Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005a), there is ""inadequate information to assess the carcinogenic potential"" of bromobenzene. This may be a synopsis of the full weight-of-evidence narrative.",,
Bromochloromethane,74-97-5,Mar-01-1991,"(PDF 6 pp, 93 K)",Not Available,No,None,None,,,,,,,,,,,,,,,,D (Not classifiable as to human carcinogenicity),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)","Based on the lack of data regarding the carcinogenicity of bromochloromethane in humans or animals; however, there are data indicative of genotoxic effects and structural relationships to halogenated methanes classified as B2 probable human carcinogens. This may be a synopsis of the full weight-of-evidence narrative.",,
Bromodichloromethane,75-27-4,Feb-01-1993,"(PDF 18 pp, 135 K)",Not Available,Yes,Urinary,Urinary,,,Oral,Urinary,2 x 10 -2,Renal cytomegaly,LOAEL: 1.79 x 101 mg/kg-day,1000,Medium,,,,,,,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)","Based on inadequate human data and sufficient evidence of carcinogenicity in two animal species (mice and rats) as shown by increased incidence of kidney tumors and tumors of the large intestine in male and female rats, kidney tumors in male mice, and liver tumors in female mice. This may be a synopsis of the full weight-of-evidence narrative.","Oral Slope Factor: 6.2 x 10-2 per mg/kg-day
Drinking Water Unit Risk: 1.8 x 10-6 per µg/L
Extrapolation Method: Linearized multistage procedure, extra risk
Tumor site(s): Urinary
Tumor type(s): Kidney (tubular cell adenoma and tubular cell adenocarcinoma) (NTP, 1987)",
p-Bromodiphenyl ether,101-55-3,Aug-01-1990,"(PDF 6 pp, 91 K)",Not Available,No,None,None,,,,,,,,,,,,,,,,D (Not classifiable as to human carcinogenicity),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)",No human data and inadequate animal data. This may be a synopsis of the full weight-of-evidence narrative.,,
Bromoform,75-25-2,Dec-01-1993,"(PDF 23 pp, 152 K)",Not Available,Yes,Hepatic,Gastrointestinal,,,Oral,Hepatic,2 x 10 -2,Hepatic lesions,NOEL: 1.79 x 101 mg/kg-day,1000,Medium,,,,,,,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)","Based on inadequate human data and sufficient evidence of carcinogenicity in animals, namely an increased incidence of tumors after oral administration of bromoform in rats and intraperitoneal administration in mice. Bromoform is genotoxic in several assay systems. Also, bromoform is structurally related to other trihalomethanes (e.g., chloroform, bromodichloromethane, dibromochloromethane) which have been verified as either probable or possible carcinogens. This may be a synopsis of the full weight-of-evidence narrative.","Oral Slope Factor: 7.9 x 10-3 per mg/kg-day
Drinking Water Unit Risk: 2.3 x 10-7 per µg/L
Extrapolation Method: Linearized multistage procedure, extra risk
Tumor site(s): Gastrointestinal
Tumor type(s): Neoplastic lesions in the large intestine (NTP, 1988)","Inhalation Unit Risk: 1.1 x 10-6 per µg/m3
Extrapolation Method: Linearized multistage procedure, extra risk
Tumor site(s): Gastrointestinal
Tumor type(s): Neoplastic lesions in the large intestine (NTP, 1988)"
Bromomethane,74-83-9,Apr-01-1992,"(PDF 29 pp, 184 K)",Not Available,Yes,Gastrointestinal; Nervous; Respiratory,None,,,Oral,Gastrointestinal,1.4 x 10 -3,Epithelial hyperplasia of the forestomach,NOAEL: 1.4 mg/kg-day,1000,Medium,,,,,,,D (Not classifiable as to human carcinogenicity),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)","Inadequate human and animal data: a single mortality study from which direct exposure associations could not be deduced and studies in several animal species with too few animals, too brief exposure or observation time for adequate power. Bromomethane has shown genotoxicity. This may be a synopsis of the full weight-of-evidence narrative.",,
Bromomethane,74-83-9,Apr-01-1992,"(PDF 29 pp, 184 K)",Not Available,Yes,Gastrointestinal; Nervous; Respiratory,None,,,Inahlation,,,,,,,Nervous; Respiratory,5 x 10 -3,Degenerative and proliferative lesions of the olfactory epithelium of the nasal cavity,LOAEL (HEC): 4.8 x 10-1 mg/m3,100,High,D (Not classifiable as to human carcinogenicity),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)","Inadequate human and animal data: a single mortality study from which direct exposure associations could not be deduced and studies in several animal species with too few animals, too brief exposure or observation time for adequate power. Bromomethane has shown genotoxicity. This may be a synopsis of the full weight-of-evidence narrative.",,
Bromotrichloromethane,75-62-7,Mar-01-1991,"(PDF 6 pp, 89 K)",Not Available,Yes,None,None,,,,,,,,,,,,,,,,D (Not classifiable as to human carcinogenicity),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)",Based on no data regarding the carcinogenicity of bromotrichloromethane in humans or animals. This may be a synopsis of the full weight-of-evidence narrative.,,
Bromoxynil,1689-84-5,Jun-30-1988,"(PDF 7 pp, 88 K)",Not Available,No,None,None,pesticide,archive,Oral,Other,2 x 10 -2,No adverse effects,NOEL: 5 mg/kg-day,300,Medium,,,,,,,,,,,
Bromoxynil octanoate,1689-99-2,Sep-07-1988,"(PDF 7 pp, 88 K)",Not Available,Yes,None,None,pesticide,archive,Oral,Other,2 x 10 -2,No effects,NOEL: 7.3 mg/kg-day,300,Medium,,,,,,,,,,,
"1,3-Butadiene",106-99-0,Nov-05-2002,"(PDF 27 pp, 187 K)","Not Available                                                                            1,3-Butadiene Support Documents",No,Reproductive,Hematologic,,,Inhalation,,,,,,,Reproductive,2 x 10 -3,Ovarian atrophy,BMCL 10 (HEC): 1.98 mg/m3,1000,Medium,Carcinogenic to humans,"Revised Draft Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1999)","Under EPA's 1999 Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1999), 1,3-butadiene is characterized as carcinogenic to humans by inhalation. This characterization is supported by the total weight of evidence provided by the following: (1) sufficient evidence from epidemiologic studies of the majority of U.S. workers occupationally exposed to 1,3-butadiene, either to the monomer or to the polymer by inhalation, showing increased lymphohematopoietic cancers and a dose-response relationship for leukemias in polymer workers (see Section II.A.2), (2) sufficient evidence in laboratory animal studies showing that 1,3-butadiene causes tumors at multiple sites in mice and rats by inhalation (see Section II.A.3), and (3) numerous studies consistently demonstrating that 1,3-butadiene is metabolized into genotoxic metabolites by experimental animals and humans (see Section II.A.4). The specific mechanisms of 1,3-butadiene-induced carcinogenesis are unknown however, the scientific evidence strongly suggests that the carcinogenic effects are mediated by genotoxic metabolites of 1,3-butadiene, i.e., the monoepoxide, the diepoxide, and the epoxydiol. This may be a synopsis of the full weight-of-evidence narrative.",,"Inhalation Unit Risk: 3 x 10-5 per µg/m3
Extrapolation Method: Linear extrapolation from LEC01 (0.254 ppm); LEC01 derived from linear relative rate model (RR = 1 + (B)(x)) using lifetable analysis with leukemia incidence data; an adjustment factor of 2 was applied.
Tumor site(s): Hematologic
Tumor type(s): Leukemia (Health Canada, 1998; U.S. EPA, 2002)"
n-Butanol,71-36-3,Mar-01-1991,"(PDF 10 pp, 100 K)",Not Available,Yes,Nervous,None,,,Oral,Nervous,1 x 10 -1,Hypoactivity and ataxia,NOAEL: 1.25 x 102 mg/kg-day,1000,Low,,,,,,,D (Not classifiable as to human carcinogenicity),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)",Based on no human and no animal cancer data. This may be a synopsis of the full weight-of-evidence narrative.,,
tert-Butyl Alcohol (tBA),75-65-0,,"(PDF None pp, None)",Not Available,No,None,None,,,Oral,Urinary,4 x 10 -1,Increased severity of nephropathy,BMDL 10 (HED): 43.2 mg/kg-day,100,Medium,,,,,,,Suggestive evidence of carcinogenic potential,"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005)","Under EPA’s Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005), tert-butyl alcohol has “suggestive evidence of carcinogenic potential” for all routes of exposure based on some evidence in animals. This may be a synopsis of the full weight-of-evidence narrative.","Oral Slope Factor: 5 x 10-4 mg/kg-day (OSF based on increasing thyroid tumors in mice. )
Tumor site(s): Urinary, Endocrine
Tumor type(s): Renal adenomas and carcinomas, thyroid adenomas ((NTP, 1995))",
tert-Butyl Alcohol (tBA),75-65-0,,"(PDF None pp, None)",Not Available,No,None,None,,,Inahlation,,,,,,,Urinary,5,Increased severity of nephropathy,BMCL 10 (HEC): 491 mg/m3,100,Medium,Suggestive evidence of carcinogenic potential,"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005)","Under EPA’s Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005), tert-butyl alcohol has “suggestive evidence of carcinogenic potential” for all routes of exposure based on some evidence in animals. This may be a synopsis of the full weight-of-evidence narrative.","Oral Slope Factor: 5 x 10-4 mg/kg-day (OSF based on increasing thyroid tumors in mice. )
Tumor site(s): Urinary, Endocrine
Tumor type(s): Renal adenomas and carcinomas, thyroid adenomas ((NTP, 1995))",
Butyl benzyl phthalate (BBP),85-68-7,Sep-01-1989,"(PDF 12 pp, 111 K)",Not Available,Yes,Hepatic,None,,,Oral,Hepatic,2 x 10 -1,Significantly increased liver-to-body weight and liver-to-brain weight ratios,NOAEL: 1.59 x 102 mg/kg-day,1000,Low,,,,,,,C (Possible human carcinogen),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)",Based on statistically significant increase in mononuclear cell leukemia in female rats; the response in male rats was inconclusive and there was no such response in mice. This may be a synopsis of the full weight-of-evidence narrative.,,
Butylate,2008-41-5,Oct-01-1994,"(PDF 13 pp, 116 K)",Not Available,Yes,Hepatic,None,pesticide,,Oral,Hepatic,5 x 10 -2,Increased relative liver weight in male dogs,NOAEL: 5 mg/kg-day,100,High,,,,,,,,,,,
t-Butylchloride,507-20-0,Apr-01-1990,"(PDF 6 pp, 86 K)",Not Available,No,None,None,,,,,,,,,,,,,,,,D (Not classifiable as to human carcinogenicity),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)",Based on no human carcinogenicity data and inadequate animal data. This may be a synopsis of the full weight-of-evidence narrative.,,
Butylphthalyl butylglycolate (BPBG),85-70-1,Mar-01-1987,"(PDF 6 pp, 86 K)",Not Available,No,None,None,,,Oral,Other,1,No adverse effect,NOEL: 1.000 x 103 mg/kg-day,1000,Low,,,,,,,,,,,
Cacodylic acid,75-60-5,Nov-01-1992,"(PDF 9 pp, 104 K)",Not Available,Yes,None,None,pesticide,,,,,,,,,,,,,,,D (Not classifiable as to human carcinogenicity),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)",No human data and inadequate data in animals This may be a synopsis of the full weight-of-evidence narrative.,,
Cadmium,7440-43-9,Oct-01-1989,"(PDF 13 pp, 118 K)",Not Available,No,Urinary,Respiratory,,,Oral,Urinary,5 x 10 -4 (water),Significant proteinuria,NOAEL: 5 x 10-3 mg/kg-day,10,High,,,,,,,B1 (Probable human carcinogen - based on limited evidence of carcinogenicity in humans),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)","Limited evidence from occupational epidemiologic studies of cadmium is consistent across investigators and study populations. There is sufficient evidence of carcinogenicity in rats and mice by inhalation and intramuscular and subcutaneous injection. Seven studies in rats and mice wherein cadmium salts (acetate, sulfate, chloride) were administered orally have shown no evidence of carcinogenic response. This may be a synopsis of the full weight-of-evidence narrative.",,"Inhalation Unit Risk: 1.8 x 10-3 per µg/m3
Extrapolation Method: Two stage; only first affected by exposure; extra risk
Tumor site(s): Respiratory
Tumor type(s): Lung, trachea, bronchus cancer deaths (Thun et al., 1985)"
Cadmium,7440-43-9,Oct-01-1989,"(PDF 13 pp, 118 K)",Not Available,No,Urinary,Respiratory,,,Oral,Urinary,1 x 10 -3 (food),Significant proteinuria,NOAEL: 1 x 10-2 mg/kg-day,10,High,,,,,,,B1 (Probable human carcinogen - based on limited evidence of carcinogenicity in humans),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)","Limited evidence from occupational epidemiologic studies of cadmium is consistent across investigators and study populations. There is sufficient evidence of carcinogenicity in rats and mice by inhalation and intramuscular and subcutaneous injection. Seven studies in rats and mice wherein cadmium salts (acetate, sulfate, chloride) were administered orally have shown no evidence of carcinogenic response. This may be a synopsis of the full weight-of-evidence narrative.",,"Inhalation Unit Risk: 1.8 x 10-3 per µg/m3
Extrapolation Method: Two stage; only first affected by exposure; extra risk
Tumor site(s): Respiratory
Tumor type(s): Lung, trachea, bronchus cancer deaths (Thun et al., 1985)"
Calcium cyanide,592-01-8,Sep-28-2010,"(PDF 27 pp, 243 K)","(PDF 153 pp, 905 K)",Yes,Reproductive,None,,,Oral,Reproductive,1 x 10 -3,Decreased cauda epididymis weight in male F344/N rats. The RfD for cyanide; free is presented in section I.A.3 of the hydrogen cyanide and cyanide salts IRIS Summary.,,,None,,,,,,,,,,,
Caprolactam,105-60-2,Sep-01-1994,"(PDF 17 pp, 134 K)",Not Available,Yes,Developmental,None,,,Oral,Developmental,5 x 10 -1,Reduced offspring body weight,NOAEL: 5.0 x 101 mg/kg-day,100,High,,,,,,,,,,,
Captafol,2425-06-1,Sep-30-1987,"(PDF 7 pp, 87 K)",Not Available,Yes,Urinary,None,pesticide,,Oral,Urinary,2 x 10 -3,Kidney and bladder toxicity,LEL: 2 mg/kg-day,1000,High,,,,,,,,,,,
Captan,133-06-2,Mar-01-1989,"(PDF 9 pp, 97 K)",Not Available,No,None,None,pesticide,,Oral,Other,1.3 x 10 -1,Decreased mean body weights,NOEL: 1.25 x 101 mg/kg-day,100,High,,,,,,,,,,,
Carbaryl,63-25-2,Nov-01-1991,"(PDF 8 pp, 95 K)",Not Available,Yes,Hepatic; Urinary,None,pesticide,,Oral,Hepatic; Urinary,1 x 10 -1,Kidney and liver toxicity,NOAEL: 9.6 mg/kg-day,100,Medium,,,,,,,,,,,
